sea_component,sea_earliest_start,sea_latest_activity,sea_aquamind_stages,sea_geographies,sea_age_days_at_cutoff,sea_age_months_floor_at_cutoff,sea_under_age_gate,linked_fw_component_count,linked_fw_in_scope_count,linked_fw_out_of_scope_count,linked_fw_unknown_scope_count,linked_fw_in_scope_examples,linked_fw_out_of_scope_examples,linked_fw_unknown_scope_examples,linkage_row_count,linkage_delta_days_min,linkage_delta_days_max,linkage_evidence_type_counts,linkage_classification_counts,linkage_tier,recommended_action
Heyst 2023|1|2024,2024-07-23 18:21:31,2025-03-03 00:41:41,Adult,Faroe Islands,548,17,true,1,1,0,0,Bakkafrost Okt 2023|4|2023,,,8,1.395,1.395,"{""provisional_temporal_geography"": 8}","{""sparse_evidence"": 8}",linked_fw_in_scope,eligible_for_marine_wave
Vetur 2024/2025|1|2024,2024-12-16 23:29:58,2026-01-22 00:04:38,Adult,Faroe Islands,402,13,true,3,3,0,0,StofnFiskur okt. 2024|3|2024; Bakkafrost S-21 sep24|3|2024; Stofnfiskur Nov 2024|5|2024,,,119,0.416,1.595,"{""provisional_temporal_geography"": 119}","{""sparse_evidence"": 69, ""true_candidate"": 50}",linked_fw_in_scope,eligible_for_marine_wave
Vetur 2024|1|2024,2024-12-07 22:55:01,2025-12-19 00:51:16,Adult,Faroe Islands,411,13,true,1,1,0,0,Benchmark Gen. Septembur 2024|3|2024,,,234,0.497,1.502,"{""provisional_temporal_geography"": 234}","{""sparse_evidence"": 78, ""true_candidate"": 156}",linked_fw_in_scope,eligible_for_marine_wave
Vetur 2025|1|2025,2025-02-11 22:21:17,2025-10-26 22:14:49,Adult,Faroe Islands,345,11,true,2,2,0,0,Stofnfiskur Des 24|4|2024; Benchmark Gen. Desembur 2024|4|2024,,,51,1.312,1.337,"{""provisional_temporal_geography"": 51}","{""sparse_evidence"": 51}",linked_fw_in_scope,eligible_for_marine_wave
Fryst sil|1|2025,2025-02-21 09:46:24,2025-02-21 09:46:24,Post-Smolt,Unknown,335,11,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2023|1|2023|6E1CB761-2844-4939-9767-570E405B04E5,2023-08-24 11:58:17,2024-12-04 00:02:44,Adult,Faroe Islands,882,28,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2023|1|2023|86A59C61-4A92-4443-8193-6BCDEB8D3139,2023-09-16 14:05:52,2024-08-27 00:10:40,Adult,Faroe Islands,859,28,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2023|1|2023|9CAC9470-5D98-4523-9F9C-44F7C6D1F6D0,2023-10-25 15:18:50,2025-02-05 00:27:21,Adult,Faroe Islands,820,26,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2023|1|2023|AFFB718D-23CE-4C55-8913-C419F316B6DE,2023-11-15 11:03:36,2024-12-10 00:33:08,Adult,Faroe Islands,799,26,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2023|1|2023|C04055FB-3728-473E-9C66-3A1C1E9BCD28,2024-05-20 20:58:09,2025-02-22 00:26:16,Adult,Faroe Islands,612,20,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2024|1|2024|539DBD6A-08A0-4F0B-AB9C-A64AF770C018,2024-11-06 20:03:32,2026-01-15 00:48:56,Adult,Faroe Islands,442,14,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2024|1|2024|8D13B7D7-2176-4AA3-99EF-C21C4F550305,2024-09-06 18:17:54,2025-10-20 00:58:58,Adult,Faroe Islands,503,16,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2024|1|2024|BA7C5201-4A13-434D-8CFC-2ABC413FECD2,2024-10-01 23:57:09,2025-11-25 00:34:16,Adult,Faroe Islands,478,15,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2025|1|2025|3D7BB614-E545-4FC1-A8CC-B9D6DC8A3EF3,2025-08-28 23:07:59,2025-09-17 23:44:13,Adult,Faroe Islands,147,4,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2025|1|2025|D759AEC0-76E8-47A9-89BA-5256D5800E25,2025-09-22 23:03:02,2025-10-13 23:46:42,Adult,Faroe Islands,122,4,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Heyst 2025|1|2025|EE44DDC3-ED36-4AC7-85F0-E338C8F2EA78,2025-09-30 23:52:52,2025-10-18 23:48:53,Adult,Faroe Islands,114,3,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Summar 2024|1|2024|433A6D50-7B57-4309-8D16-776C5D1DE1B5,2024-08-06 16:31:08,2025-10-15 00:42:20,Adult,Faroe Islands,534,17,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Summar 2024|1|2024|4CE41B9C-2FD7-497C-BE44-098A394A1F83,2024-06-24 15:25:37,2025-08-20 00:11:45,Adult,Faroe Islands,577,18,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Summar 2024|1|2024|83F05219-0AE9-439D-9B3F-FF68B5F1D7A3,2024-06-25 15:34:38,2025-08-29 00:26:33,Adult,Faroe Islands,576,18,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Summar 2024|1|2024|E4E09B4E-DBEF-40AE-889B-77A18790AEB3,2024-08-08 09:16:05,2025-10-18 00:55:29,Adult,Faroe Islands,532,17,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Summar 2025|1|2025|6E496E90-F34B-4CD7-84DC-164EC3473A5E,2025-08-01 23:21:54,2025-08-28 23:59:41,Adult,Faroe Islands,174,5,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Summar 2025|1|2025|AF0BF27C-3857-4202-85C6-446D4A280C99,2025-06-17 23:36:18,2025-12-30 18:43:38,Adult,Faroe Islands,219,7,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Summar 2025|1|2025|CE252E12-2EE4-4A9E-BB74-0F37C466B2F4,2025-07-03 23:03:40,2025-12-20 13:59:35,Adult,Faroe Islands,203,6,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vetur 2023|1|2023|C59C9D2C-F286-4B7D-BCA5-9F504FFA9BB5,2023-12-14 08:42:32,2025-01-27 00:42:58,Adult,Faroe Islands,770,25,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vár 2024|1|2024|7F6B21C1-A14E-486D-9A34-581AC82C96C7,2024-05-29 14:42:51,2025-07-25 00:53:21,Adult,Faroe Islands,603,19,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vár 2024|1|2024|82A9B732-322F-4D4C-AD7C-E09ACC7F8545,2024-03-10 14:46:12,2025-04-29 20:27:48,Adult,Faroe Islands,683,22,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vár 2024|1|2024|869F2ECB-C09D-469A-AF9A-FC1CF4810675,2024-04-30 07:40:31,2025-06-25 02:21:15,Adult,Faroe Islands,632,20,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vár 2024|1|2024|9A2C97E3-1EA8-4B50-B7E8-078D84BA083D,2024-02-19 15:29:44,2025-04-14 00:08:06,Adult,Faroe Islands,703,23,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vár 2024|1|2024|A3AD4712-A467-4767-A885-F1DFFD5BC166,2024-04-13 22:59:26,2025-06-06 00:03:14,Adult,Faroe Islands,649,21,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vár 2025|1|2025|5EE980F2-C78A-4711-B0CF-C44C71C2F646,2025-04-11 23:05:21,2025-05-09 23:59:29,Adult,Faroe Islands,286,9,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vár 2025|1|2025|A83A9BFF-005B-4ED2-856D-8C7BDF37B54F,2025-10-16 14:49:28,2025-10-17 14:51:26,Adult,Faroe Islands,98,3,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vár 2025|1|2025|B26B76E2-249F-4DDD-92E9-ECDDB7F3EDE2,2025-03-27 23:18:16,2025-08-26 21:17:05,Adult,Faroe Islands,301,9,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vár 2025|1|2025|D6018427-20B6-4C2C-899B-87A1C3629679,2025-05-05 23:06:42,2025-10-18 08:54:40,Adult,Faroe Islands,262,8,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
Vár 2025|1|2025|F04EA78C-DF81-4D8F-9824-2C185ED065A2,2025-10-13 14:43:31,2025-10-14 14:48:26,Adult,Faroe Islands,101,3,true,0,0,0,0,,,,0,,,{},{},unlinked_sea,hold_for_linkage_confirmation
