stage,stage_name,container_id,container_name,start_time,end_time,duration_days,interval_count
Unknown,Unknown,6B306AFD-8BF0-4771-AFB3-301E90DDF138,Temp,2024-02-28 06:49:10,2024-02-28 06:49:10,0.00,1
Unknown,Unknown,B441A2CF-2836-4B4B-B648-98D98C8A96F5,Temp,2024-05-02 16:59:45,2024-05-02 16:59:45,0.00,1
Unknown,Unknown,42A7FBF6-8327-464F-9B2F-8AE3E5E4EEF5,Temp,2024-06-19 18:43:09,2024-06-19 18:43:09,0.00,1
Adult,Ongrowing,088FAC00-5BCA-46F8-B054-EC53A464831E,02,2024-06-11 18:07:19,2024-06-17 20:25:20,6.10,4
Adult,Ongrowing,FDCA7883-D5FB-422F-AE27-65D8F1693331,06,2024-05-06 20:16:25,2024-05-08 13:27:22,1.72,2
Unknown,Unknown,68471E2E-6DC7-42CC-847D-E3551F99CFAE,Temp,2024-02-29 17:36:20,2024-02-29 17:36:20,0.00,1
Unknown,Unknown,E86E363A-05C0-40F3-B052-30D18D82B6D4,Temp,2024-06-19 19:43:09,2024-06-19 19:43:09,0.00,1
Unknown,Unknown,1F981012-8BEC-4CEB-9B4E-3AB9632324A2,Temp,2024-06-03 22:53:48,2024-06-03 22:53:48,0.00,1
Unknown,Unknown,6DC72B15-B9B2-43C6-A676-C05E67B4CB9E,Temp,2024-05-29 16:41:13,2024-05-29 16:41:13,0.00,1
Unknown,Unknown,D37759C7-29BC-4ABA-8D99-F608FE0DBEC2,Temp,2024-05-21 11:20:47,2024-05-21 11:20:47,0.00,1
Unknown,Unknown,5056D4D4-B049-466D-A513-746248114F97,Temp,2024-05-01 18:29:16,2024-05-01 18:29:16,0.00,1
Adult,Ongrowing,66428F7F-853E-4F10-8EC8-EA34C27D0372,05,2024-05-29 14:42:51,2024-05-31 23:30:43,2.37,6
Unknown,Unknown,96C99051-D94C-4499-829A-C48F510BA4E9,Temp,2024-06-17 17:25:20,2024-06-17 17:25:20,0.00,1
Adult,Ongrowing,3E743C37-24AF-4231-8474-1773E269F0CB,27,2024-02-22 14:11:42,2024-02-23 21:21:10,1.30,2
Adult,Ongrowing,FFBC82FD-743A-452B-AD7B-75C252413DAD,08,2024-04-20 10:00:30,2024-04-23 23:07:47,3.55,3
Adult,Ongrowing,BC16D2F0-5389-4A84-9651-D63633CEFA27,18,2024-05-21 11:20:47,2025-05-19 00:23:52,362.54,1
Unknown,Unknown,FDA9FC6D-F09C-4854-89A2-58DD740ED000,03,2024-04-13 23:58:26,2024-04-13 23:58:26,0.00,1
Adult,Ongrowing,14E0CCB7-2166-488F-9FB1-9D4AEC5D0B82,05,2024-06-04 09:24:59,2024-06-04 09:26:57,0.00,2
Unknown,Unknown,A5DC2E66-DE5B-47D6-ACB2-29DE543B0EC9,Temp,2024-03-20 15:09:21,2024-03-20 15:09:21,0.00,1
Unknown,Unknown,322912E0-4AA9-4546-88A7-6E356CC7F43B,Temp,2024-05-21 11:23:33,2024-05-21 11:23:33,0.00,1
Adult,Ongrowing,C35EF30F-CC02-465E-8D1E-4D3D8686CF06,04,2024-06-19 17:43:09,2024-06-28 23:48:40,9.25,2
Unknown,Unknown,87D76D98-A9A3-4BF9-B21F-724CA9760711,Temp,2024-03-15 15:53:43,2024-03-15 15:53:43,0.00,1
Unknown,Unknown,3B0F13AA-F386-4A0E-BBA8-76A3FD32AEEF,Temp,2024-05-30 15:44:29,2024-05-30 15:44:29,0.00,1
Adult,Ongrowing,546359B9-8AAA-4A91-A72E-1FEEF911E601,05,2024-03-10 14:46:12,2024-03-14 15:41:41,4.04,2
Adult,Ongrowing,77E6DA6F-E99D-49FF-9500-E9D1BDE4D5D7,02,2024-03-22 14:40:10,2024-04-11 17:37:41,20.12,4
Unknown,Unknown,9507F009-4286-418C-9FF4-BD7DA793CFDF,Temp,2024-06-03 15:55:52,2024-06-03 15:55:52,0.00,1
Adult,Ongrowing,E64F4961-B0B9-43E7-B8ED-45A16BE17FF2,04,2024-04-10 09:35:12,2024-04-12 22:28:47,2.54,3
Adult,Ongrowing,122093A7-70D6-4598-BF06-1496397E5099,28,2024-03-08 18:25:15,2024-03-10 14:32:48,1.84,4
Unknown,Unknown,BE7625FC-A433-422C-B560-020E7261195C,Temp,2024-05-06 20:16:25,2024-05-06 20:16:25,0.00,1
Unknown,Unknown,AEFAB338-C12C-477D-9674-7F1CD2663115,Temp,2024-04-10 09:35:12,2024-04-10 09:35:12,0.00,1
Unknown,Unknown,8E18056F-C41C-4C54-A068-413F0CE326DB,Temp,2024-04-23 22:07:47,2024-04-23 22:07:47,0.00,1
Unknown,Unknown,E7E19512-8E43-4EA3-97E4-5067F5F246C0,Temp,2024-03-14 16:41:41,2024-03-14 16:41:41,0.00,1
Adult,Ongrowing,8036CACD-0DD8-4CCF-80AF-8E798BE0C3D5,02,2024-05-01 16:04:50,2024-05-01 22:29:16,0.27,2
Unknown,Unknown,464AED47-F717-4E91-A26C-FC77D53045CF,15,2024-04-30 16:40:31,2024-04-30 16:40:31,0.00,1
Unknown,Unknown,4A8332FD-EAB3-45CA-89B9-DD82779C2CCF,Temp,2024-05-31 14:34:46,2024-05-31 14:34:46,0.00,1
Adult,Ongrowing,AAE4140B-9BFE-4106-9F94-929450A79142,01,2024-06-17 17:25:20,2024-06-19 11:32:48,1.76,4
Unknown,Unknown,FD1C3EAC-6698-441D-84B3-1C848A98AF7D,Temp,2024-04-30 16:40:31,2024-04-30 16:40:31,0.00,1
Unknown,Unknown,E30DEF3F-A322-449F-B09D-80C5AD569EFF,Temp,2024-06-17 22:25:20,2024-06-17 22:25:20,0.00,1
Adult,Ongrowing,46089B82-628E-4861-987C-CC550F0AE5DE,06,2024-03-14 15:46:06,2024-03-15 15:53:43,1.01,5
Unknown,Unknown,6C7D3B9B-0A85-4601-BA92-AABA83EF10F1,Temp,2024-04-30 07:40:31,2024-04-30 07:40:31,0.00,1
Adult,Ongrowing,C5CEA294-1613-4213-9491-C38513C61433,04,2024-06-03 15:55:52,2024-06-04 09:11:51,0.72,4
Unknown,Unknown,79F14A87-6711-48C5-91D1-362C77F26F7F,Temp,2024-03-14 21:35:50,2024-03-14 21:35:50,0.00,1
Unknown,Unknown,148CC3A2-1174-453B-AE2A-53AB39ED4542,Temp,2024-03-10 14:46:12,2024-03-10 14:46:12,0.00,1
Unknown,Unknown,664CC59E-5EF7-47A7-81AB-BB20570D9854,Temp,2024-03-10 14:32:48,2024-03-10 14:32:48,0.00,1
Adult,Ongrowing,17FD50D3-AFC4-4C66-92D4-4BA49FE3311A,17,2024-05-21 11:23:33,2024-05-23 22:56:07,2.48,3
Unknown,Unknown,AD8232B1-11C6-4AA5-B994-9F32AF469AD9,Temp,2024-06-04 09:24:59,2024-06-04 09:24:59,0.00,1
Adult,Ongrowing,EA7DDD95-0CA2-46ED-8021-EFE3F70D7CA0,06,2024-06-04 09:29:22,2024-06-05 23:48:40,1.60,4
Adult,Ongrowing,C5F55EA4-2341-4BA7-AD4D-037A4238D8AE,06,2024-06-19 12:43:09,2024-06-19 19:43:09,0.29,7
Unknown,Unknown,06B5634E-0A63-462D-906F-9DAE6DA8BE57,Temp,2024-06-10 15:27:23,2024-06-10 15:27:23,0.00,1
Unknown,Unknown,81BEFFB2-61C8-400D-8228-8D37F5A60A26,Temp,2024-02-22 14:11:42,2024-02-22 14:11:42,0.00,1
Unknown,Unknown,C2E4A02B-7408-4B48-9A65-DE38157B3D91,Temp,2024-03-14 20:46:06,2024-03-14 20:46:06,0.00,1
Adult,Ongrowing,FDA9FC6D-F09C-4854-89A2-58DD740ED000,03,2024-04-13 22:59:26,2024-04-13 23:59:22,0.04,2
Unknown,Unknown,FBBEA4E1-F57D-4F54-B079-12C8BBEFD40F,Temp,2024-06-05 21:48:40,2024-06-05 21:48:40,0.00,1
Unknown,Unknown,C660E2D3-EC8B-4ED6-90CA-FB734C97322D,Temp,2024-06-19 15:43:09,2024-06-19 15:43:09,0.00,1
Unknown,Unknown,FBAEB8E9-E486-4674-B172-5BEDE758E6D2,Temp,2024-06-04 09:29:22,2024-06-04 09:29:22,0.00,1
Unknown,Unknown,2D2C3E61-AFE2-4B28-998F-3860E1B6D0E5,Temp,2024-04-20 10:00:30,2024-04-20 10:00:30,0.00,1
Unknown,Unknown,62D3E0DD-C5F3-417C-BBA8-DE2FEAC5F399,Temp,2024-06-19 12:43:09,2024-06-19 12:43:09,0.00,1
Unknown,Unknown,8C42DC09-A881-4B39-8D78-B7810AD7B8AC,Temp,2024-05-29 14:42:51,2024-05-29 14:42:51,0.00,1
Unknown,Unknown,6CACA0DD-368F-4AB7-AC80-693E139C9AEF,Temp,2024-06-17 16:25:20,2024-06-17 16:25:20,0.00,1
Unknown,Unknown,89EFCA5B-1347-4707-A88D-4D4197934374,Temp,2024-03-14 15:41:41,2024-03-14 15:41:41,0.00,1
Unknown,Unknown,293088C4-FAEC-4337-8E33-7577816361F0,Temp,2024-05-22 14:45:04,2024-05-22 14:45:04,0.00,1
Unknown,Unknown,32930247-784A-4A96-A204-3C0089C5E846,Temp,2024-05-21 13:20:47,2024-05-21 13:20:47,0.00,1
Unknown,Unknown,274AF84B-F8DE-4EC3-852C-F321391C990C,Temp,2024-04-23 11:20:47,2024-04-23 11:20:47,0.00,1
Unknown,Unknown,BA534E29-917D-46BA-BF42-5B7D03A1ACA1,Temp,2024-05-23 22:56:07,2024-05-23 22:56:07,0.00,1
Unknown,Unknown,3DA5DFFB-DAF7-4DCB-8B52-CD6D6C604808,Temp,2024-06-28 23:48:40,2024-06-28 23:48:40,0.00,1
Unknown,Unknown,9152691F-7510-47FF-8F38-ECC30C3EA8F5,Temp,2024-05-30 18:44:29,2024-05-30 18:44:29,0.00,1
Unknown,Unknown,02E0FCEB-CC63-431C-B4E1-0000F792C2EB,Temp,2024-03-14 19:46:06,2024-03-14 19:46:06,0.00,1
Unknown,Unknown,D8CDB5DD-774E-43DC-99C7-BE205E521B60,Temp,2024-06-19 11:32:48,2024-06-19 11:32:48,0.00,1
Unknown,Unknown,C2E3A5C9-78DB-4E14-8F36-4E2825084A57,Temp,2024-05-23 11:53:17,2024-05-23 11:53:17,0.00,1
Unknown,Unknown,BFE34572-0AD1-4310-B29C-3E97C2708A09,Temp,2024-06-05 20:48:40,2024-06-05 20:48:40,0.00,1
Unknown,Unknown,5AA8BB03-5FE1-4C80-8D1C-1F5B020CF63B,Temp,2024-05-08 13:27:22,2024-05-08 13:27:22,0.00,1
Unknown,Unknown,F95800D3-4455-4092-95E0-5D9D0E51BA76,Temp,2024-04-13 22:59:26,2024-04-13 22:59:26,0.00,1
Adult,Ongrowing,464AED47-F717-4E91-A26C-FC77D53045CF,15,2024-04-30 07:40:31,2024-04-30 16:40:31,0.38,1
Unknown,Unknown,7453A6AC-4DAF-4811-8C3B-161B06173BDF,Temp,2024-06-19 13:43:09,2024-06-19 13:43:09,0.00,1
Adult,Ongrowing,685143A4-90B4-4A11-B923-22BA74443783,03,2024-03-25 21:16:48,2024-04-12 22:33:00,18.05,2
Unknown,Unknown,31211606-FD04-4850-961C-B88F4CE974A2,Temp,2024-03-10 14:41:11,2024-03-10 14:41:11,0.00,1
Unknown,Unknown,503FD0EB-194B-43FB-A36E-8CCC7C6A9A59,Temp,2024-05-23 23:56:07,2024-05-23 23:56:07,0.00,1
Adult,Ongrowing,FDE2DBDF-FAB3-447B-8A26-5614BEFF7510,07,2024-05-23 11:53:17,2024-05-23 11:56:07,0.00,1
Unknown,Unknown,2F9E3467-71E7-4D0D-AC53-6810E519DC28,Temp,2024-06-04 09:11:51,2024-06-04 09:11:51,0.00,1
Adult,Ongrowing,33EB6F3A-BB73-4592-BE98-43FA665347F9,16,2024-05-22 11:37:23,2025-05-20 23:46:27,363.51,1
Unknown,Unknown,58F7A91E-5EF0-43B7-8C99-CDA9E9DE90F8,Temp,2024-03-14 15:46:06,2024-03-14 15:46:06,0.00,1
Adult,Ongrowing,CB42ECA8-E004-41AA-A30E-FFA3BE9EB783,12,2024-05-23 11:56:07,2025-05-23 00:04:16,364.51,1
Adult,Ongrowing,1E1B5021-6744-421C-BC24-739B135BC1E6,07,2024-04-23 11:20:47,2024-04-24 22:28:42,1.46,2
Adult,Ongrowing,5B6638D2-AD4C-4417-BBB0-50F0FE08DF81,29,2024-03-10 14:41:11,2024-03-10 22:43:30,0.33,3
Unknown,Unknown,E63B0D95-7321-4DE0-A29E-E0AA88EC9E85,Temp,2024-06-04 09:26:57,2024-06-04 09:26:57,0.00,1
Adult,Ongrowing,6518CCFE-7DD6-4803-A18D-59A38A06463F,21,2024-02-19 15:38:18,2024-02-28 06:49:10,8.63,2
Unknown,Unknown,235A9FB7-A4A6-4B4A-9268-17CB9219012E,Temp,2024-06-17 20:25:20,2024-06-17 20:25:20,0.00,1
Adult,Ongrowing,F3A427A6-ADA6-424F-A37C-11CF0E0B316F,11,2024-05-22 11:40:40,2024-05-22 14:45:04,0.13,2
Adult,Ongrowing,6D163EDF-902A-4936-B227-C653748A9197,20,2024-04-30 15:40:31,2024-05-23 23:56:07,23.34,2
Unknown,Unknown,96D2BDC8-99AC-435A-88DF-872AB3531425,Temp,2024-03-09 22:29:37,2024-03-09 22:29:37,0.00,1
Unknown,Unknown,7CDCAF12-DD6C-4759-A9AC-A5E9A65BDFD9,Temp,2024-06-19 17:43:09,2024-06-19 17:43:09,0.00,1
Unknown,Unknown,C23D4830-A2CF-4C57-9340-66AD2FEA4EBD,Temp,2024-05-22 11:37:23,2024-05-22 11:37:23,0.00,1
Unknown,Unknown,D1875040-7087-4709-A283-E43E8192E20A,Temp,2024-02-19 15:38:18,2024-02-19 15:38:18,0.00,1
Unknown,Unknown,754E76EB-506F-4AA4-BB20-CBD597A9CCAA,Temp,2024-04-11 17:37:41,2024-04-11 17:37:41,0.00,1
Unknown,Unknown,06A41328-1158-4B21-BBFE-3D83B102783E,Temp,2024-04-13 23:58:26,2024-04-13 23:58:26,0.00,1
Adult,Ongrowing,E621CA88-20D8-406E-8C2E-B5C9A4D6E3E3,03,2024-05-01 18:29:16,2024-05-02 16:59:45,0.94,3
Unknown,Unknown,947F383B-EBA1-473A-A146-E3C4E860D864,Temp,2024-03-10 22:43:30,2024-03-10 22:43:30,0.00,1
Unknown,Unknown,534A22C3-2DA8-49D7-B255-0029E08302B8,Temp,2024-04-12 22:28:47,2024-04-12 22:28:47,0.00,1
Adult,Ongrowing,19E8150E-061E-4CF8-80A1-5A366FC65EC9,07,2024-03-14 15:41:41,2024-03-14 16:41:41,0.04,1
Adult,Ongrowing,49D6DB23-974A-4DA9-90C3-32C77E6186C4,08,2024-03-19 18:02:50,2024-03-20 15:09:21,0.88,2
Unknown,Unknown,67C4B407-0BE9-47E0-BC5C-7CB01BE515C3,Temp,2024-04-12 22:33:00,2024-04-12 22:33:00,0.00,1
Unknown,Unknown,08407C00-CA89-44BB-AA0B-1F38B8D4FDD7,Temp,2024-04-20 09:30:23,2024-04-20 09:30:23,0.00,1
Unknown,Unknown,8BC7F0A8-5E9D-4829-9538-CCC22A702AA7,Temp,2024-03-25 21:16:48,2024-03-25 21:16:48,0.00,1
Unknown,Unknown,F13CD676-4CC5-4556-88F7-7AD6BA129BF5,Temp,2024-02-23 21:21:10,2024-02-23 21:21:10,0.00,1
Unknown,Unknown,4DF01BE6-5B19-420A-93E2-D5F410BC5AE5,Temp,2024-03-14 15:41:41,2024-03-14 15:41:41,0.00,1
Unknown,Unknown,24D3EB42-31DC-496A-8B8D-30AE3EC58090,Temp,2024-05-02 18:44:16,2024-05-02 18:44:16,0.00,1
Unknown,Unknown,BDBD2081-E66E-4381-B1DC-D7CE793BF224,Temp,2024-06-17 13:25:20,2024-06-17 13:25:20,0.00,1
Unknown,Unknown,96F36B01-EBEF-4D3D-A5C5-D4C184A0796D,Temp,2024-05-22 11:40:40,2024-05-22 11:40:40,0.00,1
Unknown,Unknown,19E8150E-061E-4CF8-80A1-5A366FC65EC9,07,2024-03-14 16:41:41,2024-03-14 16:41:41,0.00,1
Unknown,Unknown,08E9A839-E434-42DC-ADF0-CC0EB0538EEB,Temp,2024-05-23 11:56:07,2024-05-23 11:56:07,0.00,1
Unknown,Unknown,D6802391-DDC1-416B-A4D4-AE822A705BC3,Temp,2024-05-01 16:04:50,2024-05-01 16:04:50,0.00,1
Unknown,Unknown,FDE2DBDF-FAB3-447B-8A26-5614BEFF7510,07,2024-05-23 11:56:07,2024-05-23 11:56:07,0.00,1
Unknown,Unknown,CB5BE0D6-7BB3-473D-B952-ED9359A44C90,Temp,2024-06-17 19:25:20,2024-06-17 19:25:20,0.00,1
Unknown,Unknown,E41BB015-6BA1-4399-8729-390704747A2A,Temp,2024-04-13 23:59:22,2024-04-13 23:59:22,0.00,1
Unknown,Unknown,8634ECF5-36DD-4148-95E0-741AEF907D14,Temp,2024-05-23 11:56:07,2024-05-23 11:56:07,0.00,1
Unknown,Unknown,FC8C23EF-3594-4A7B-ADF0-BCD80356A63C,Temp,2024-04-11 14:33:29,2024-04-11 14:33:29,0.00,1
Unknown,Unknown,1CC5D3F6-17A7-496C-9B2D-EA7885E6A5EA,Temp,2024-04-30 15:40:31,2024-04-30 15:40:31,0.00,1
Unknown,Unknown,0C065C75-73A3-4A78-9AF9-FB2AF23EC363,Temp,2024-06-03 18:55:52,2024-06-03 18:55:52,0.00,1
Unknown,Unknown,09453AB9-BEB7-451B-A077-2D7F5BD2A6AD,Temp,2024-03-08 18:25:15,2024-03-08 18:25:15,0.00,1
Unknown,Unknown,2ED5EC27-9C77-4A15-B3DF-4B6201507E0E,Temp,2024-04-23 23:07:47,2024-04-23 23:07:47,0.00,1
Unknown,Unknown,8BC4A564-3F83-488D-81A7-DA7BA777CF57,Temp,2024-03-09 20:29:37,2024-03-09 20:29:37,0.00,1
Adult,Ongrowing,511C5669-2FF5-4D21-B013-3BBCE121F666,19,2024-05-02 18:44:16,2025-04-30 00:01:01,362.22,1
Unknown,Unknown,B7EC13CE-BA8B-4248-B86C-B9DC9DC57038,Temp,2024-02-19 15:29:44,2024-02-19 15:29:44,0.00,1
Adult,Ongrowing,54E55714-0944-43A4-9029-85F64495D4B0,03,2024-06-10 15:27:23,2024-11-28 15:34:08,171.00,1
Adult,Ongrowing,1A26A66A-819D-4C83-9C77-62EFC79D4F3B,22,2024-02-29 17:36:20,2024-07-17 15:16:59,138.90,1
Unknown,Unknown,78A42BC9-91A1-49B7-84A2-465644DAB8DB,Temp,2024-03-22 14:40:10,2024-03-22 14:40:10,0.00,1
Unknown,Unknown,CF323F82-C81D-4745-87C4-4A27816A73E6,Temp,2024-05-01 22:29:16,2024-05-01 22:29:16,0.00,1
Unknown,Unknown,D8B8AA9B-A8E1-43DD-B5F7-C029C6CC2BCA,Temp,2024-05-01 22:29:16,2024-05-01 22:29:16,0.00,1
Unknown,Unknown,32BE5ACD-BEBF-4896-986E-0D8B153E2223,Temp,2024-06-19 14:43:09,2024-06-19 14:43:09,0.00,1
Adult,Ongrowing,EE6DE885-149C-4ACE-82D4-769EF520C505,05,2024-04-20 09:30:23,2024-11-04 20:48:35,198.47,1
Unknown,Unknown,044F886B-5E34-416B-BFF9-581D20A40C48,Temp,2024-06-19 16:43:09,2024-06-19 16:43:09,0.00,1
Unknown,Unknown,8082CD78-A0DB-4F25-9C09-E178F946C697,Temp,2024-03-19 18:02:50,2024-03-19 18:02:50,0.00,1
Unknown,Unknown,D2917A96-2431-4EDC-8123-C688B6B12168,Temp,2024-06-05 23:48:40,2024-06-05 23:48:40,0.00,1
Unknown,Unknown,272BB204-41FC-4631-ADCE-CB2BBBAA87A7,Temp,2024-04-24 22:28:42,2024-04-24 22:28:42,0.00,1
Unknown,Unknown,37144436-8794-4165-B61F-D28A4FAA5931,Temp,2024-04-11 15:33:29,2024-04-11 15:33:29,0.00,1
Unknown,Unknown,4A28AEC6-14EF-4949-ABEE-2A7AA38A1E9E,Temp,2024-06-11 18:07:19,2024-06-11 18:07:19,0.00,1
Unknown,Unknown,59257B9B-6FAB-433F-9A26-BB915747FE13,Temp,2024-05-31 23:30:43,2024-05-31 23:30:43,0.00,1
Unknown,Unknown,7FAE4D20-DA26-49F7-9622-6FFFEBDEFDF7,Temp,2024-04-12 22:20:51,2024-04-12 22:20:51,0.00,1
Unknown,Unknown,7BCD353F-4036-4B04-855A-5AF687EBB2D7,Temp,2024-03-10 18:41:11,2024-03-10 18:41:11,0.00,1
Adult,Ongrowing,BCE7D8D1-33A0-4917-9208-7326A1AB6BE6,20,2024-02-19 15:29:44,2024-07-16 15:13:52,147.99,1
